filename,photographer,year,title,call_numer
jelna-likes-sciences-is-going-to.jpg,Jack Delano,1942,"Jelna likes sciences, is going to be a doctor. For Christmas her parents bought her this chemistry set. Ida B. Wells Housing Project, Chicago, Illinois",owi2001002365/PP
loading-freight-car-with-seed-for.jpg,John Vachon,1939,"Loading freight car with seed for shipment to Canada cooperative seed exchange. Williams, Minnesota. This co-op was financed through a FSA (Farm Security Administration) loan which has been paid off",fsa2000040851/PP
women-in-industry-tool-production-maybe.jpg,Ann Rosener,1942,"Women in industry. Tool production. Maybe it isn&#39;t Shakespeare, but it makes sense to the employees of this drill and tool plant who are manufacturing thousands of drills each day for use in all war production industries. Republic Drill and Tool Company, Chicago, Illinois",oem2002004322/PP
view-from-the-general-store-in.jpg,Jack Delano,1941,"View from the general store in Centralhatchee. Heard County, Georgia",fsa2000025519/PP
miner-working-in-a-mine-on.jpg,Jack Delano,1940,"Miner working in a mine on a farm near Ellen Mills, Pennsylvania",fsa2000022851/PP
training-ramp-boats-a-well-known.jpg,Howard R. Hollem,1942,"Training. Ramp boats. A well known Southern boat building company turned its peacetime display rooms into a training school where Marines and sailors are instructed in the art of handling ramp boats and other invasion craft. At its various yards, the company is large enough to land tanks and heavy guns at beach positions",oem2002005349/PP
marion-street-french-section-west-side.jpg,Carl Mydans,1936,"Marion Street, French section, west side of river, Amoskeag, Manchester, New Hampshire",fsa1997002710/PP
mr-craig-handing-sackful-of-nails.jpg,Russell Lee,1940,"Mr. Craig handing sackful of nails to a farmer. Pie Town, New Mexico",fsa2000018066/PP
passengers-aboard-an-american-airliner-enroute.jpg,John Collier,1941,Passengers aboard an American airliner enroute from Washington to Los Angeles,fsa2000052933/PP
tractordrawn-combine-in-wheat-whitman-county.jpg,Russell Lee,1941,"Tractor-drawn combine in wheat. Whitman County, Washington. In most wheat growing sections of the world it is necessary for the grain to be shocked for curing before threshing, but because of the long, dry summers in this section, it is possible to thresh when it is cut.---J. Russell Smith, &quot;North America&quot;",fsa2000046626/PP
trucks-from-a-small-sawmill-stand.jpg,Russell Lee,1940,"Trucks from a small sawmill stand in front of the cabins at Pie Town, New Mexico",fsa2000018093/PP
amaconda-smelter-montana-anaconda-copper-mining.jpg,Russell Lee,1942,"Amaconda smelter, Montana. Anaconda Copper Mining Company. Pouring copper anodes from the refining furnace; product at this stage is about ninety-nine and one quarter percent copper",owi2001011190/PP
primitive-hog-pen-built-by-itinerant.jpg,Russell Lee,1939,"Primitive hog pen built by itinerant statue maker and day laborer camped on Poteau Creek near Spiro, Oklahoma. Sequoyah County",fsa2000014833/PP
drought-relief-crew-saint-anthony-north.jpg,Arthur Rothstein,1936,"Drought relief crew. Saint Anthony, North Dakota",fsa1998019612/PP
man-at-work-in-the-camp.jpg,Edwin Locke,1937,"Man at work in the camp for white flood refugees, Forrest City, Arkansas",fsa1997014612/PP
barn-on-the-tronson-farm-williams.jpg,Russell Lee,1937,"Barn on the Tronson farm. Williams County, North Dakota",fsa1997022135/PP
pressing-cane-for-sorghum-the-extracted.jpg,Dorothea Lange,1938,"Pressing cane for sorghum. The extracted juice is then boiled. Near New Carthage, Mississippi",fsa2000001846/PP
lancaster-county-pennsylvania-a-bookcase-in.jpg,Sheldon Dick,1938,"Lancaster County, Pennsylvania. A bookcase in the living room of the house on the Enos Royer farm.",fsa2000021742/PP
germanrussian-farmers-waiting-to-vote-in.jpg,John Vachon,1940,"German-Russian farmers waiting to vote in presidential election, November 1940. Beaver Creek precinct, McIntosh County, North Dakota. Men with caps, sitting indoors",fsa2000042329/PP
southeast-missouri-farms-sharecroppers-family-in.jpg,Russell Lee,1938,"Southeast Missouri Farms. Sharecropper&#39;s family in shack home. La Forge project, Missouri",fsa2000012319/PP
topock-vicinity-arizona-a-local-freight.jpg,Jack Delano,1943,"Topock (vicinity), Arizona. A local freight train going around a curve on the Atchison, Topeka and Santa Fe Railroad between Seligman, Arizona and Needles, California",owi2001022729/PP
washington-dc-young-girl-who-lives.jpg,Gordon Parks,1942,"Washington, D.C. Young girl who lives near the Capitol",fsa1998023628/PP
forks-and-spoons-laid-out-at.jpg,Russell Lee,1940,"Forks and spoons laid out at the buffet supper of the Jaycees in Eufaula, Oklahoma. See general caption number 25",fsa2000016610/PP
street-corner-williamette-valley-small-town.jpg,Dorothea Lange,1939,"Street corner, Williamette Valley. Small town during hop season. Independence, Polk County, Oregon",fsa2000004166/PP
young-boy-waiting-to-see-if.jpg,John Vachon,1940,"Young boy waiting to see if he can get a place to sleep for the night. City mission, Dubuque, Iowa",fsa2000041181/PP
lines-of-farmers-waiting-for-cotton.jpg,John Vachon,1938,"Lines of farmers waiting for cotton seed which they are buying cooperatively. Roanoke Farms, North Carolina",fsa1998021064/PP
mr-keele-slicing-bacon-in-the.jpg,Russell Lee,1940,"Mr. Keele slicing bacon in the general store at Pie Town, New Mexico",fsa2000018149/PP
aluminum-casting-thirtysevenmillimeter-armour-piercing-shot.jpg,Alfred T. Palmer,1942,"Aluminum casting. Thirty-seven-millimeter armour piercing shot used in anti-tank guns are produced in this giant Midwest factory now converted to war production. Aluminum Industries Inc., Cincinnati, Ohio",oem2002001828/PP
circus-poster-circleville-ohio.jpg,Ben Shahn,1938,"Circus poster, Circleville, Ohio",fsa1997018255/PP
borger-texas-oil-train-leaving-refinery.jpg,John Vachon,1942,"Borger, Texas. Oil train leaving refinery",owi2001014195/PP
main-street-of-nyssa-oregon-on.jpg,Dorothea Lange,1939,"Main street of Nyssa, Oregon, on Saturday afternoon",fsa2000005035/PP
kern-county-california-one-of-the.jpg,Russell Lee,1942,"Kern County, California. One of the McKee brothers who own and operate the Tungsten Chief Mine and mill",owi2001005664/PP
statue-of-abraham-de-peyster-lower.jpg,Arthur Rothstein,1941,Statue of Abraham De Peyster. Lower Broadway. New York City,fsa2000006033/PP
mrs-arnold-and-her-children-before.jpg,Dorothea Lange,1939,"Mrs. Arnold and her children before the stump pile. Western Washington, Thurston County, Michigan Hill. See general caption 36",fsa2000004366/PP
calves-in-the-slab-barn-of.jpg,Russell Lee,1940,"Calves in the slab barn of homesteader. Pie Town, New Mexico",fsa2000017989/PP
detroit-michigan-line-waiting-to-register.jpg,Arthur S. Siegel,1942,"Detroit, Michigan. Line waiting to register for sugar rationing books",owi2001018160/PP
butte-montana-new-members-being-initiated.jpg,Russell Lee,1942,"Butte, Montana. New members being initiated at a meeting of the Butte miners&#39; union",owi2001012201/PP
cattle-in-feedlot-grundy-county-iowa.jpg,Arthur Rothstein,1940,"Cattle in feedlot. Grundy County, Iowa",fsa2000010770/PP
parris-island-marine-corps-gliders-they.jpg,Alfred T. Palmer,1942,"Parris Island. Marine Corps gliders. They fly without engines. Lieutenants of the Marine Corps, studying glider pilotage, compare notes before a flight",oem2002003430/PP
cincinnati-vicinity-ohio-the-cincinnati-bridge.jpg,Arthur S. Siegel,1943,"Cincinnati (vicinity), Ohio. The Cincinnati bridge as seen from the towboat Ernest T. Weir going down the Ohio River",owi2001030870/PP
cattle-roundup-with-corral-on-ranch.jpg,Russell Lee,1939,"Cattle roundup with corral on ranch near Marfa, Texas",fsa2000014533/PP
japaneseamericans-clean-their-cemetery-before-they.jpg,Russell Lee,1942,"Japanese-Americans clean their cemetery before they are evacuated. San Juan Bautista, California",fsa2000049410/PP
burning-clover-which-is-too-poor.jpg,Russell Lee,1937,"Burning clover which is too poor to harvest for seed near Littlefork, Minnesota",fsa2000011787/PP
tulare-county-farm-security-administration-fsa.jpg,Dorothea Lange,1939,"Tulare County, Farm Security Administration (FSA) camp. Migrant mother and child at doorway of steel shelter",fsa2000003109/PP
defense-housing-erie-pennsylvania-mrs-rogan.jpg,Alfred T. Palmer,1941,"Defense housing, Erie, Pennsylvania. Mrs. Rogan bathes her young son, Bernie, in the laundry tub of the utility building. Many mothers at the site seem to prefer this for thier children to the showers provided for bathing. Wash basins and toliet facilities are also provided",oem2002000711/PP
a-better-wellkept-farm-west-virginia.jpg,Marion Post Wolcott,1938,"A better well-kept farm, West Virginia",fsa1998012103/PP
harmonica-band-part-of-the-schoolchildrens.jpg,Russell Lee,1942,"Harmonica band, part of the schoolchildren&#39;s victory chorus at the Imperial County Fair, California",fsa2000049071/PP
decorated-graves-at-new-roads-louisiana.jpg,Russell Lee,1938,"Decorated graves at New Roads, Louisiana on All Saints&#39; Day",fsa1997024762/PP
cotton-pickers-kaufman-county-texas.jpg,Arthur Rothstein,1936,"Cotton pickers. Kaufman County, Texas",fsa1998019654/PP
mr-germeroth-farm-security-administration-client.jpg,Russell Lee,1939,"Mr. Germeroth, Farm Security Administration client sitting on tractor which was bought by means of FSA loan, Sheridan County, Kansas",fsa1997026870/PP
discussing-the-method-of-planting-strawberry.jpg,Arthur Rothstein,1936,"Discussing the method of planting strawberry bushes to prevent gulley erosion. Falls City Farmsteads, Mebraska",fsa1998019258/PP
miners-cafe-butte-montana.jpg,Arthur Rothstein,1939,"Miners&#39; cafe, Butte, Montana",fsa1997011249/PP
herd-of-holstein-cows-scottsbluff-farmsteads.jpg,Marion Post Wolcott,1941,"Herd of Holstein cows. Scottsbluff Farmsteads cooperative enterprise. FSA (Farm Security Administration) project. Scottsbluff, Nebraska",fsa2000039899/PP
lititz-pennsylvania-looking-over-the-furniture.jpg,Marjory Collins,1942,"Lititz, Pennsylvania. Looking over the furniture at a public sale before bidding",owi2001014293/PP
conversion-paper-machinery-to-plane-wing.jpg,Edward Gruber,1942,"Conversion. Paper machinery to plane wing parts. A horizontal milling machine operator in the plant of an Eastern manufacturer of paper machinery bores a hole in a jig used in the manufacture of airplane wing hinges. In addition to these jigs, the plant is also making open naval sights and other war essentials",oem2002003708/PP
production-bf-heavy-bombers-a-line.jpg,Alfred T. Palmer,1942,"Production. B-17F heavy bombers. A line of fuselage nose sections for B-17F heavy bombers moving in an overhead conveyor trolley toward the final assembly line at the Long Beach, California, plant of Douglas Aircraft Company. Better known as the &quot;Flying Fortress,&quot; the B-17F is a later model B-17, which distinguished itself in action in the South Pacific, over Germany and elsewhere. It is a long range, high altitude, heavy bomber with a crew of seven to nine men and with armament sufficient to defend itself on daylight missions",oem2002006316/PP
milk-in-rear-of-farmers-automobile.jpg,Russell Lee,1939,"Milk in rear of farmer&#39;s automobile. The dampened burlap bags keep the milk cold. Creamery, San Angelo, Texas",fsa2000016273/PP
elevating-rice-to-second-floor-by.jpg,Russell Lee,1938,"Elevating rice to second floor by means of conveyors. Rice mill, Abbeville, Louisiana",fsa2000012600/PP
production-copper-conveyor-gallery-and-smokestack.jpg,Fritz Henle,1942,"Production. Copper. Conveyor gallery and smokestack at a copper smelter of the Phelps-Dodge Mining Company, Morenci, Arizona. This plant supplies great quantities of the copper so vital in our war effort",oem2002008474/PP
sheriff-graham-and-two-farmers-killing.jpg,Marion Post Wolcott,1939,"Sheriff Graham and two farmers killing time during dinner hour in his office on court day in Granville County Courthouse. Oxford, North Carolina",fsa2000033118/PP
granger-homesteads-iowa.jpg,John Vachon,1940,"Granger Homesteads, Iowa",fsa2000041531/PP
split-rail-fence-and-barn-gees.jpg,Arthur Rothstein,1937,"Split rail fence and barn. Gees Bend, Alabama",fsa2000006946/PP
cotton-pickers-southern-san-joaquin-valley.jpg,Dorothea Lange,1936,"Cotton pickers. Southern San Joaquin Valley, California",fsa1998021934/PP
kingman-vicinity-arizona-an-interior-view.jpg,Fritz Henle,1942,"Kingman (vicinity), Arizona. An interior view of a concentrating plant where tungsten ore is crushed. The ore comes from the Boriana mine",owi2001040781/PP
portable-irrigation-unit-in-bean-field.jpg,Marion Post Wolcott,1941,"Portable irrigation unit in bean field. Starkey Farms, Morrisville Pennsylvania",fsa2000038131/PP
child-going-home-from-school-after.jpg,Marion Post Wolcott,1939,"Child going home from school after snowstorm in Jackson, New Hampshire",fsa1998014603/PP
fruit-and-vegetable-market-san-antonio.jpg,Russell Lee,1939,"Fruit and vegetable market, San Antonio, Texas",fsa1997025486/PP
beef-cattle-and-windmill-on-farm.jpg,Russell Lee,1940,"Beef cattle and windmill on farm of George Hutton. Pie Town, New Mexico",fsa2000018095/PP
new-orleans-louisiana-children-playing-in.jpg,John Vachon,1943,"New Orleans, Louisiana. Children playing in the street",owi2001024162/PP
negro-grocery-store-sylvania-georgia.jpg,Marion Post Wolcott,1939,"Negro grocery store. Sylvania, Georgia",fsa2000032308/PP
a-girl-who-is-a-cook.jpg,Esther Bubley,1943,"A girl, who is a cook in a roadside restaurant who plans to leave her job and become a nurse, on a Greyhound bus between Cincinnati, Ohio and Chicago, Illinois. She rides for several miles to her home each night",owi2001035768/PP
hudson-river-ferry-playing-between-athens.jpg,John Collier,1941,"Hudson River ferry playing between Athens and Hudson, New York",fsa2000052637/PP
statue-in-gloucester-massachusetts.jpg,Arthur Rothstein,1937,"Statue in Gloucester, Massachusetts",fsa2000007344/PP
activity-in-front-of-courthouse-san.jpg,Russell Lee,1939,"Activity in front of courthouse. San Augustine, Texas",fsa2000014248/PP
hamburger-stand-proprietor-hanging-up-the.jpg,Russell Lee,1939,"Hamburger stand proprietor hanging up the &quot;foot long buns,&quot; county fair, Gonzales, Texas",fsa1997027439/PP
united-nations-fight-for-freedom-.jpg,John Rous,1943,"United Nations Fight for Freedom : colored, white and Chinese Boy Scouts in front of Capitol, They help out by delivering poster to help the war effort",fsa1992001261/PP
shasta-dam-shasta-county-california-face.jpg,Russell Lee,1942,"Shasta Dam, Shasta County, California. Face of dam under construction",fsa2000049800/PP
southeast-missouri-farms-moving-to-new.jpg,Russell Lee,1938,Southeast Missouri Farms. Moving to new farm unit,fsa1997022587/PP
spanishamerican-woman-removing-peppers-from-stove.jpg,Russell Lee,1939,"Spanish-American woman removing peppers from stove. Taos, New Mexico",fsa2000015454/PP
ranch-mailbox-near-farson-wyoming.jpg,Marion Post Wolcott,1941,"Ranch mailbox near Farson, Wyoming",fsa2000039438/PP
las-vegas-nevada-a-billboard-on.jpg,Fritz Henle,1942,"Las Vegas, Nevada. A billboard on the grounds of the gigantic plant of Basic Magnesium Incorporated, showing tracer bullets and reading &quot;MacArthur&#39;s job is fighting. OURS is magnesium.&quot; In the background can be seen workers&#39; automobiles and some of the eighty-four foot silos and buildings of the plant",owi2001040293/PP
trailer-and-tent-camp-of-construction.jpg,Russell Lee,1940,"Trailer and tent camp of construction workers at Shasta Dam. Summit City, California",fsa2000019497/PP
spanishamerican-farmstead-with-farming-land-in.jpg,Russell Lee,1940,"Spanish-American farmstead with farming land in background. Llano de San Juan, New Mexico",fsa2000018539/PP
crew-of-gyppo-logging-outfit-tillamook.jpg,Russell Lee,1941,"Crew of gyppo logging outfit, Tillamook County, Oregon",fsa1998003145/PP
shenandoah-valley-mr-dickinson-county-agent.jpg,John Vachon,1941,"Shenandoah Valley. Mr. Dickinson, county agent, Shenandoah County, and chairman of the county defense committee. Mr. Dickinson is shown in the living room of his home in Woodstock, Virginia",oem2002000234/PP
forming-cotton-bats-which-will-fill.jpg,Russell Lee,1939,"Forming cotton bats which will fill mattress. Mattress factory. San Angelo, Texas",fsa2000016159/PP
farm-worker-and-his-wife-in.jpg,Russell Lee,1941,"Farm worker and his wife in their cottage at the FSA (Farm Security Administration) labor camp. Caldwell, Idaho. Notice the quilt on frame near the ceiling",fsa2000020874/PP
corn-field-showing-topped-corn-and.jpg,Marion Post Wolcott,1939,"Corn field showing topped corn and shocks of tops, much lower than shocks of full-length stalks. This was three miles south of Leasburg on road toward Frogsboro, Caswell County, North Carolina",fsa1998013217/PP
off-for-the-melon-fields-mexican.jpg,Dorothea Lange,1935,"Off for the melon fields (Mexican labor). Imperial Valley, California",fsa1998018178/PP
juanita-eygran-and-jeredine-burman-cutting.jpg,Marion Post Wolcott,1939,"Juanita Eygran and Jeredine Burman cutting out health pictures to paste on second and third grades health house. Flint River Farms, Georgia",fsa2000032009/PP
barranquitas-puerto-rico-vicinity-a-tenant.jpg,Jack Delano,1941,"Barranquitas, Puerto Rico (vicinity). A tenant purchase borrower",fsa2000028265/PP
quotblack-furyquot-poster-a-movie-about.jpg,Ben Shahn,1935,"&quot;Black Fury&quot; poster, a movie about a strike, Scotts Run, West Virginia",fsa1997016550/PP
school-grounds-greenhills-ohio.jpg,John Vachon,1939,"School grounds, Greenhills, Ohio",fsa1997005084/PP
dairy-cows-and-cattle-grazing-laramie.jpg,Marion Post Wolcott,1941,"Dairy cows and cattle grazing. Laramie, Wyoming",fsa2000039912/PP
bethlehemfairfield-shipyards-baltimore-maryland-painting-the.jpg,Arthur S. Siegel,1943,"Bethlehem-Fairfield shipyards, Baltimore, Maryland. Painting the bottom shell seams",owi2001024902/PP
old-home-built-about--called.jpg,Marion Post Wolcott,1939,"Old home built about 1850 called &quot;Silver Place,&quot; owned by Mrs. Frazier, now rented by two families. Alabama",fsa2000032201/PP
mr-sam-bishop-fsa-farm-security.jpg,Jack Delano,1941,"Mr. Sam Bishop, FSA (Farm Security Administration) borrower on the Jones farm. Near Greshamville, Greene County, Georgia",fsa2000026313/PP
sleeping-quarters-for-migratory-workers-near.jpg,Jack Delano,1940,"Sleeping quarters for migratory workers near Cedarville, New Jersey",fsa2000022368/PP
washington-dc-on-the-mall.jpg,Esther Bubley,1943,"Washington, D.C. On the Mall",owi2001037716/PP
mailbox-on-ranch-in-canyon-county.jpg,Russell Lee,1941,"Mailbox on ranch in Canyon County, Idaho",fsa2000020537/PP
construction-of-homes-for-defense-workers.jpg,John Vachon,1941,"Construction of homes for defense workers. Greenbelt, Maryland",fsa2000044876/PP
one-of-the-tenant-houses-which.jpg,Marion Post Wolcott,1939,"One of the tenant houses which has electricity on Marcella Plantation. Mileston, Mississippi Delta, Mississippi",fsa2000032657/PP
virgin-timber-teton-national-forest-wyoming.jpg,Arthur Rothstein,1936,"Virgin timber. Teton National Forest, Wyoming",fsa1998019193/PP
rural-home-southeastern-united-states.jpg,Walker Evans,1936,Rural home. Southeastern United States,fsa1998021045/PP
russian-church-little-falls-new-york.jpg,John Collier,1941,"Russian church. Little Falls, New York",fsa2000052217/PP
weighing-turkeys-at-unloading-platform-of.jpg,Russell Lee,1939,"Weighing turkeys at unloading platform of cooperative poultry house. Brownwood, Texas",fsa2000016028/PP
eleven-mile-corner-arizona-fsa-farm.jpg,Russell Lee,1942,"Eleven Mile Corner, Arizona. FSA (Farm Security Administration) migratory workers community. Delivery room in the maternity section of the Cairns General Hospital",fsa1998003387/PP
arlington-virginia-fsa-farm-security-administration.jpg,Marjory Collins,1942,"Arlington, Virginia. FSA (Farm Security Administration) trailer camp project for Negroes. Interior of expansible trailer, showing kitchen equipment",fsa2000056489/PP
southeast-missouri-farms-project-unloading-privy.jpg,Russell Lee,1938,Southeast Missouri Farms Project. Unloading privy house at job site,fsa1997022898/PP
fort-smith-arkansas.jpg,John Vachon,1942,"Fort Smith, Arkansas",owi2001012098/PP
dr-jd-jones-inspecting-brood-mare.jpg,Marion Post Wolcott,1940,"Dr. J.D. Jones inspecting brood mare and colt of FSA (Farm Security Administration) borrower M.P. Puckett, who is receiving the benefits of the FSA veterinary cooperative. West Carroll Parish, Louisiana",fsa2000034399/PP
main-street-of-childersburg-alabama.jpg,Jack Delano,1941,"Main street of Childersburg, Alabama",fsa2000025911/PP
women-of-the-congregation-of-wheeleys.jpg,Dorothea Lange,1939,"Women of the congregation of Wheeley&#39;s Church on steps with brooms and buckets on annual clean up day. Gordonton, North Carolina",fsa2000003548/PP
cotton-seed-in-storage-cotton-seed.jpg,Russell Lee,1939,"Cotton seed in storage. Cotton seed oil mill. McLennan County, Texas",fsa2000016083/PP
farm-scene-placer-county-california.jpg,Russell Lee,1940,"Farm scene. Placer County, California",fsa2000019847/PP
great-lakes-port-superior-wisconsin.jpg,John Vachon,1941,"Great Lakes port, Superior, Wisconsin",fsa1998005624/PP
house-in-neardeserted-town-of-tyler.jpg,Jack Delano,1940,"House in near-deserted town of Tyler, Pennsylvania, showing abandoned coke ovens in background",fsa2000022708/PP
one-of-few-remaining-inhabitants-of.jpg,Ben Shahn,1935,"One of few remaining inhabitants of Zinc, Arkansas",fsa1997016181/PP
charles-millers-household-goods-being-moved.jpg,Russell Lee,1937,"Charles Miller&#39;s household goods being moved onto the farm which he is renting northeast of Fowler, Indiana",fsa1998022388/PP
mr-gilbert-and-hired-man-had.jpg,Marion Post Wolcott,1939,"Mr. Gilbert and hired man had to haul all their water in milk cans during winter months as all other sources of water supply were frozen. Woodstock, Vermont",fsa1998014361/PP
reemployment-service-office-newport-news-virginia.jpg,Paul Carter,1936,"Re-employment service office. Newport News, Virginia",fsa1998022831/PP
detroit-michigan-buying-refrigerators-at-the.jpg,Arthur S. Siegel,1941,"Detroit, Michigan. Buying refrigerators at the Crowley-Milner department store",owi2001018567/PP
abandoned-farm-near-syracuse-kansas.jpg,Russell Lee,1939,"Abandoned farm near Syracuse, Kansas",fsa2000015422/PP
